sl.no,Topic Name,Link to List of Repo,link
113,Amazon Web Services,https://github.com/topics/Amazon-Web-Services,https://github.com/widdix/aws-cf-templates
114,Amazon Web Services,https://github.com/topics/Amazon-Web-Services,https://github.com/aws-samples/aws-workshop-for-kubernetes
115,Amazon Web Services,https://github.com/topics/Amazon-Web-Services,https://github.com/LeanerCloud/AutoSpotting
116,Amazon Web Services,https://github.com/topics/Amazon-Web-Services,https://github.com/aws-amplify/aws-sdk-ios
117,Amazon Web Services,https://github.com/topics/Amazon-Web-Services,https://github.com/kananinirav/AWS-Certified-Cloud-Practitioner-Notes
118,Amazon Web Services,https://github.com/topics/Amazon-Web-Services,https://github.com/dwyl/learn-aws-lambda
119,Amazon Web Services,https://github.com/topics/Amazon-Web-Services,https://github.com/aws-amplify/aws-sdk-android
120,Amazon Web Services,https://github.com/topics/Amazon-Web-Services,https://github.com/broamski/aws-mfa
121,Azure,https://github.com/topics/Azure,https://github.com/bregman-arie/devops-exercises
122,Azure,https://github.com/topics/Azure,https://github.com/microsoft/generative-ai-for-beginners
123,Azure,https://github.com/topics/Azure,https://github.com/pulumi/pulumi
124,Azure,https://github.com/topics/Azure,https://github.com/recommenders-team/recommenders
125,Azure,https://github.com/topics/Azure,https://github.com/getsops/sops
126,Azure,https://github.com/topics/Azure,https://github.com/danny-avila/LibreChat
127,Azure,https://github.com/topics/Azure,https://github.com/ramitsurana/awesome-kubernetes
128,Azure,https://github.com/topics/Azure,https://github.com/Azure/azure-quickstart-templates
129,Azure,https://github.com/topics/Azure,https://github.com/caprover/caprover
130,Azure,https://github.com/topics/Azure,https://github.com/milanm/DevOps-Roadmap
131,Babel,https://github.com/topics/Babel,https://github.com/babel/babel
132,Babel,https://github.com/topics/Babel,https://github.com/swc-project/swc
133,Babel,https://github.com/topics/Babel,https://github.com/nylas/nylas-mail
134,Babel,https://github.com/topics/Babel,https://github.com/electron-react-boilerplate/electron-react-boilerplate
135,Babel,https://github.com/topics/Babel,https://github.com/SimulatedGREG/electron-vue
136,Babel,https://github.com/topics/Babel,https://github.com/grab/front-end-guide
137,Babel,https://github.com/topics/Babel,https://github.com/jamiebuilds/babel-handbook
138,Babel,https://github.com/topics/Babel,https://github.com/developit/htm
139,Babel,https://github.com/topics/Babel,https://github.com/grommet/grommet
140,Babel,https://github.com/topics/Babel,https://github.com/ben-rogerson/twin.macro
141,Bash,https://github.com/topics/Bash,https://github.com/jlevy/the-art-of-command-line
142,Bash,https://github.com/topics/Bash,https://github.com/nvm-sh/nvm
143,Bash,https://github.com/topics/Bash,https://github.com/junegunn/fzf
144,Bash,https://github.com/topics/Bash,https://github.com/starship/starship
145,Bash,https://github.com/topics/Bash,https://github.com/google/zx
146,Bash,https://github.com/topics/Bash,https://github.com/LeCoupa/awesome-cheatsheets
147,Bash,https://github.com/topics/Bash,https://github.com/acmesh-official/acme.sh
148,Bash,https://github.com/topics/Bash,https://github.com/dylanaraps/pure-bash-bible
149,Bash,https://github.com/topics/Bash,https://github.com/koalaman/shellcheck
150,Bash,https://github.com/topics/Bash,https://github.com/alebcay/awesome-shell
151,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/bitcoin/bitcoin
152,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/ccxt/ccxt
153,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/freqtrade/freqtrade
154,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/bitcoinbook/bitcoinbook
155,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/HelloZeroNet/ZeroNet
156,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/solana-labs/solana
157,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/bbfamily/abu
158,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/askmike/gekko
159,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/dvf/blockchain
160,Bitcoin,https://github.com/topics/Bitcoin,https://github.com/lightningnetwork/lnd
161,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/twbs/bootstrap
162,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/ColorlibHQ/AdminLTE
163,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/tabler/tabler
164,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/mdbootstrap/mdb-ui-kit
165,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/react-bootstrap/react-bootstrap
166,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/ColorlibHQ/gentelella
167,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/verekia/js-stack-from-scratch
168,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/thomaspark/bootswatch
169,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/bootstrap-vue/bootstrap-vue
170,Bootstrap,https://github.com/topics/Bootstrap,https://github.com/selectize/selectize.js
171,Bot,https://github.com/topics/Bot,https://github.com/ccxt/ccxt
172,Bot,https://github.com/topics/Bot,https://github.com/python-telegram-bot/python-telegram-bot
173,Bot,https://github.com/topics/Bot,https://github.com/discordjs/discord.js
174,Bot,https://github.com/topics/Bot,https://github.com/wechaty/wechaty
175,Bot,https://github.com/topics/Bot,https://github.com/RasaHQ/rasa
176,Bot,https://github.com/topics/Bot,https://github.com/hubotio/hubot
177,Bot,https://github.com/topics/Bot,https://github.com/InstaPy/InstaPy
178,Bot,https://github.com/topics/Bot,https://github.com/leon-ai/leon
179,Bot,https://github.com/topics/Bot,https://github.com/pedroslopez/whatsapp-web.js
180,Bot,https://github.com/topics/Bot,https://github.com/Rapptz/discord.py
181,C,https://github.com/topics/C,https://github.com/Genymobile/scrcpy
182,C,https://github.com/topics/C,https://github.com/neovim/neovim
183,C,https://github.com/topics/C,https://github.com/obsproject/obs-studio
184,C,https://github.com/topics/C,https://github.com/fffaraz/awesome-cpp
185,C,https://github.com/topics/C,https://github.com/git/git
186,C,https://github.com/topics/C,https://github.com/FFmpeg/FFmpeg
187,C,https://github.com/topics/C,https://github.com/serhii-londar/open-source-mac-os-apps
188,C,https://github.com/topics/C,https://github.com/vim/vim
189,C,https://github.com/topics/C,https://github.com/curl/curl
190,C,https://github.com/topics/C,https://github.com/huihut/interview
191,Chrome,https://github.com/topics/Chrome,https://github.com/electron/electron
192,Chrome,https://github.com/topics/Chrome,https://github.com/puppeteer/puppeteer
193,Chrome,https://github.com/topics/Chrome,https://github.com/microsoft/playwright
194,Chrome,https://github.com/topics/Chrome,https://github.com/iamadamdev/bypass-paywalls-chrome
195,Chrome,https://github.com/topics/Chrome,https://github.com/FiloSottile/mkcert
196,Chrome,https://github.com/topics/Chrome,https://github.com/jaywcjlove/linux-command
197,Chrome,https://github.com/topics/Chrome,https://github.com/ovity/octotree
198,Chrome,https://github.com/topics/Chrome,https://github.com/segment-boneyard/nightmare
199,Chrome,https://github.com/topics/Chrome,https://github.com/checkly/headless-recorder
200,Chrome,https://github.com/topics/Chrome,https://github.com/GoogleChrome/chrome-extensions-samples
201,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/iamadamdev/bypass-paywalls-chrome
202,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/jaywcjlove/linux-command
203,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/refined-github/refined-github
204,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/openai-translator/openai-translator
205,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/darkreader/darkreader
206,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/dailydotdev/daily
207,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/checkly/headless-recorder
208,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/gildas-lormeau/SingleFile
209,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/unbug/codelf
210,Chrome extension,https://github.com/topics/Chrome-extension,https://github.com/immersive-translate/immersive-translate
211,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/extrawurst/gitui
212,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/o2sh/onefetch
213,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/kellyjonbrazil/jc
214,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/shobrook/rebound
215,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/fujiapple852/trippy
216,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/babarot/enhancd
217,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/p-gen/smenu
218,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/reactopt/reactopt
219,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/CITGuru/PyInquirer
220,Command line interface,https://github.com/topics/Command-line-interface,https://github.com/npkgz/cli-progress
221,Clojure,https://github.com/topics/Clojure,https://github.com/metabase/metabase
222,Clojure,https://github.com/topics/Clojure,https://github.com/logseq/logseq
223,Clojure,https://github.com/topics/Clojure,https://github.com/penpot/penpot
224,Clojure,https://github.com/topics/Clojure,https://github.com/deeplearning4j/deeplearning4j
225,Clojure,https://github.com/topics/Clojure,https://github.com/LightTable/LightTable
226,Clojure,https://github.com/topics/Clojure,https://github.com/kanaka/mal
227,Clojure,https://github.com/topics/Clojure,https://github.com/lk-geimfari/awesomo
228,Clojure,https://github.com/topics/Clojure,https://github.com/tonsky/datascript
229,Clojure,https://github.com/topics/Clojure,https://github.com/reagent-project/reagent
230,Clojure,https://github.com/topics/Clojure,https://github.com/izhangzhihao/intellij-rainbow-brackets
231,Code quality,https://github.com/topics/Code-quality,https://github.com/realm/SwiftLint
232,Code quality,https://github.com/topics/Code-quality,https://github.com/facebook/infer
233,Code quality,https://github.com/topics/Code-quality,https://github.com/analysis-tools-dev/static-analysis
234,Code quality,https://github.com/topics/Code-quality,https://github.com/federico-busato/Modern-CPP-Programming
235,Code quality,https://github.com/topics/Code-quality,https://github.com/Kristories/awesome-guidelines
236,Code quality,https://github.com/topics/Code-quality,https://github.com/super-linter/super-linter
237,Code quality,https://github.com/topics/Code-quality,https://github.com/SonarSource/sonarqube
238,Code quality,https://github.com/topics/Code-quality,https://github.com/checkstyle/checkstyle
239,Code quality,https://github.com/topics/Code-quality,https://github.com/reviewdog/reviewdog
240,Code quality,https://github.com/topics/Code-quality,https://github.com/facebook/pyre-check
241,Code review,https://github.com/topics/Code-review,https://github.com/ovity/octotree
242,Code review,https://github.com/topics/Code-review,https://github.com/gitpod-io/gitpod
243,Code review,https://github.com/topics/Code-review,https://github.com/reviewdog/reviewdog
244,Code review,https://github.com/topics/Code-review,https://github.com/danger/danger
245,Code review,https://github.com/topics/Code-review,https://github.com/danger/danger-js
246,Code review,https://github.com/topics/Code-review,https://github.com/Codium-ai/pr-agent
247,Code review,https://github.com/topics/Code-review,https://github.com/joho/awesome-code-review
248,Code review,https://github.com/topics/Code-review,https://github.com/ajinabraham/nodejsscan
249,Code review,https://github.com/topics/Code-review,https://github.com/microsoft/vscode-pull-request-github
250,Code review,https://github.com/topics/Code-review,https://github.com/crev-dev/cargo-crev
251,Compiler,https://github.com/topics/Compiler,https://github.com/vercel/next.js
252,Compiler,https://github.com/topics/Compiler,https://github.com/rust-lang/rust
253,Compiler,https://github.com/topics/Compiler,https://github.com/sveltejs/svelte
254,Compiler,https://github.com/topics/Compiler,https://github.com/webpack/webpack
255,Compiler,https://github.com/topics/Compiler,https://github.com/FuelLabs/sway
256,Compiler,https://github.com/topics/Compiler,https://github.com/gatsbyjs/gatsby
257,Compiler,https://github.com/topics/Compiler,https://github.com/JetBrains/kotlin
258,Compiler,https://github.com/topics/Compiler,https://github.com/parcel-bundler/parcel
259,Compiler,https://github.com/topics/Compiler,https://github.com/babel/babel
260,Compiler,https://github.com/topics/Compiler,https://github.com/evanw/esbuild
261,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/localstack/localstack
262,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/harness/gitness
263,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/jenkinsci/jenkins
264,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/auchenberg/volkswagen
265,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/dagger/dagger
266,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/milanm/DevOps-Roadmap
267,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/openshift/origin
268,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/concourse/concourse
269,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/gocd/gocd
270,Continuous integration,https://github.com/topics/Continuous-integration,https://github.com/buildbot/buildbot
271,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/bitcoin/bitcoin
272,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/ccxt/ccxt
273,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/OpenBB-finance/OpenBB
274,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/freqtrade/freqtrade
275,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/dogecoin/dogecoin
276,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/monero-project/monero
277,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/xmrig/xmrig
278,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/kroma-network/tachyon
279,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/dvf/blockchain
280,Cryptocurrency,https://github.com/topics/Cryptocurrency,https://github.com/hummingbot/hummingbot
281,Crystal,https://github.com/topics/Crystal,https://github.com/crystal-lang/crystal
282,Crystal,https://github.com/topics/Crystal,https://github.com/kemalcr/kemal
283,Crystal,https://github.com/topics/Crystal,https://github.com/veelenga/awesome-crystal
284,Crystal,https://github.com/topics/Crystal,https://github.com/luckyframework/lucky
285,Crystal,https://github.com/topics/Crystal,https://github.com/amberframework/amber
286,Crystal,https://github.com/topics/Crystal,https://github.com/getmango/Mango
287,Crystal,https://github.com/topics/Crystal,https://github.com/vitobotta/hetzner-k3s
288,Crystal,https://github.com/topics/Crystal,https://github.com/ffwff/lilith
289,Crystal,https://github.com/topics/Crystal,https://github.com/drujensen/fib
290,Crystal,https://github.com/topics/Crystal,https://github.com/amethyst-framework/amethyst
291,C#,https://github.com/topics/C#,https://github.com/Genymobile/scrcpy
292,C#,https://github.com/topics/C#,https://github.com/neovim/neovim
293,C#,https://github.com/topics/C#,https://github.com/obsproject/obs-studio
294,C#,https://github.com/topics/C#,https://github.com/fffaraz/awesome-cpp
295,C#,https://github.com/topics/C#,https://github.com/git/git
296,C#,https://github.com/topics/C#,https://github.com/FFmpeg/FFmpeg
297,C#,https://github.com/topics/C#,https://github.com/serhii-londar/open-source-mac-os-apps
298,C#,https://github.com/topics/C#,https://github.com/vim/vim
299,C#,https://github.com/topics/C#,https://github.com/curl/curl
300,C#,https://github.com/topics/C#,https://github.com/huihut/interview
301,CSS,https://github.com/topics/CSS,https://github.com/twbs/bootstrap
302,CSS,https://github.com/topics/CSS,https://github.com/Chalarangelo/30-seconds-of-code
303,CSS,https://github.com/topics/CSS,https://github.com/electron/electron
304,CSS,https://github.com/topics/CSS,https://github.com/microsoft/Web-Dev-For-Beginners
305,CSS,https://github.com/topics/CSS,https://github.com/tailwindlabs/tailwindcss
306,CSS,https://github.com/topics/CSS,https://github.com/animate-css/animate.css
307,CSS,https://github.com/topics/CSS,https://github.com/florinpop17/app-ideas
308,CSS,https://github.com/topics/CSS,https://github.com/FortAwesome/Font-Awesome
309,CSS,https://github.com/topics/CSS,https://github.com/thedaviddias/Front-End-Checklist
310,CSS,https://github.com/topics/CSS,https://github.com/h5bp/html5-boilerplate
311,Data structures,https://github.com/topics/Data-structures,https://github.com/jwasham/coding-interview-university
312,Data structures,https://github.com/topics/Data-structures,https://github.com/trekhleb/javascript-algorithms
313,Data structures,https://github.com/topics/Data-structures,https://github.com/labuladong/fucking-algorithm
314,Data structures,https://github.com/topics/Data-structures,https://github.com/krahets/hello-algo
315,Data structures,https://github.com/topics/Data-structures,https://github.com/TheAlgorithms/Java
316,Data structures,https://github.com/topics/Data-structures,https://github.com/azl397985856/leetcode
317,Data structures,https://github.com/topics/Data-structures,https://github.com/huihut/interview
318,Data structures,https://github.com/topics/Data-structures,https://github.com/TheAlgorithms/JavaScript
319,Data structures,https://github.com/topics/Data-structures,https://github.com/TheAlgorithms/C-Plus-Plus
320,Data structures,https://github.com/topics/Data-structures,https://github.com/kodecocodes/swift-algorithm-club
321,Data visualization,https://github.com/topics/Data-visualization,https://github.com/d3/d3
322,Data visualization,https://github.com/topics/Data-visualization,https://github.com/netdata/netdata
323,Data visualization,https://github.com/topics/Data-visualization,https://github.com/grafana/grafana
324,Data visualization,https://github.com/topics/Data-visualization,https://github.com/apache/superset
325,Data visualization,https://github.com/topics/Data-visualization,https://github.com/apache/echarts
326,Data visualization,https://github.com/topics/Data-visualization,https://github.com/pixijs/pixijs
327,Data visualization,https://github.com/topics/Data-visualization,https://github.com/metabase/metabase
328,Data visualization,https://github.com/topics/Data-visualization,https://github.com/streamlit/streamlit
329,Data visualization,https://github.com/topics/Data-visualization,https://github.com/gradio-app/gradio
330,Data visualization,https://github.com/topics/Data-visualization,https://github.com/microsoft/Data-Science-For-Beginners
331,Database,https://github.com/topics/Database,https://github.com/netdata/netdata
332,Database,https://github.com/topics/Database,https://github.com/supabase/supabase
333,Database,https://github.com/topics/Database,https://github.com/redis/redis
334,Database,https://github.com/topics/Database,https://github.com/etcd-io/etcd
335,Database,https://github.com/topics/Database,https://github.com/meilisearch/meilisearch
336,Database,https://github.com/topics/Database,https://github.com/LeCoupa/awesome-cheatsheets
337,Database,https://github.com/topics/Database,https://github.com/dbeaver/dbeaver
338,Database,https://github.com/topics/Database,https://github.com/prisma/prisma
339,Database,https://github.com/topics/Database,https://github.com/metabase/metabase
340,Database,https://github.com/topics/Database,https://github.com/pingcap/tidb
341,Deep learning,https://github.com/topics/Deep-learning,https://github.com/tensorflow/tensorflow
342,Deep learning,https://github.com/topics/Deep-learning,https://github.com/AUTOMATIC1111/stable-diffusion-webui
343,Deep learning,https://github.com/topics/Deep-learning,https://github.com/huggingface/transformers
344,Deep learning,https://github.com/topics/Deep-learning,https://github.com/pytorch/pytorch
345,Deep learning,https://github.com/topics/Deep-learning,https://github.com/opencv/opencv
346,Deep learning,https://github.com/topics/Deep-learning,https://github.com/Developer-Y/cs-video-courses
347,Deep learning,https://github.com/topics/Deep-learning,https://github.com/keras-team/keras
348,Deep learning,https://github.com/topics/Deep-learning,https://github.com/d2l-ai/d2l-zh
349,Deep learning,https://github.com/topics/Deep-learning,https://github.com/labmlai/annotated_deep_learning_paper_implementations
350,Deep learning,https://github.com/topics/Deep-learning,https://github.com/CorentinJ/Real-Time-Voice-Cloning
351,Dependency management,https://github.com/topics/Dependency-management,https://github.com/pointfreeco/swift-dependencies
352,Dependency management,https://github.com/topics/Dependency-management,https://github.com/GetStream/vg
353,Dependency management,https://github.com/topics/Dependency-management,https://github.com/ehmicky/nve
354,Dependency management,https://github.com/topics/Dependency-management,https://github.com/gradle/gradle-build-action
